Frame,Time_Sec,X,Y,Mode,Area,Circularity
234,7.800000000000001,876,552,TRACKING,54.0,0.8363009706092605
237,7.9,876,552,TRACKING,50.0,0.7743527505641299
240,7.999999999999998,874,552,TRACKING,22.0,0.7798381254407766
243,8.100000000000003,874,552,TRACKING,36.0,0.8323186919600187
246,8.200000000000001,874,554,TRACKING,56.0,0.9432711611657616
249,8.3,872,554,TRACKING,22.0,0.8399544551501442
252,8.4,872,554,TRACKING,14.0,0.8001063703614794
255,8.499999999999998,872,556,TRACKING,16.0,0.7853981633974483
258,8.600000000000003,872,556,TRACKING,16.0,0.7853981633974483
261,8.700000000000001,870,556,TRACKING,20.0,0.8061450660379307
264,8.8,870,556,TRACKING,20.0,0.8061450660379307
267,8.9,870,554,TRACKING,48.0,0.8085181381420813
270,8.999999999999998,868,552,TRACKING,68.0,0.7860787654209549
273,9.100000000000003,868,552,TRACKING,78.0,0.8408588636677647
276,9.200000000000001,868,552,TRACKING,74.0,0.7256046329210497
279,9.3,868,550,TRACKING,74.0,0.7977378963001871
282,9.4,868,550,TRACKING,64.0,0.7398388380432517
285,9.499999999999998,866,552,TRACKING,54.0,0.8363009706092605
288,9.600000000000003,866,554,TRACKING,60.0,0.7689393938672696
291,9.700000000000001,866,552,TRACKING,46.0,0.8458348538463679
294,9.8,864,554,TRACKING,22.0,0.6587925570046589
297,9.9,866,556,TRACKING,12.0,0.8085181381420813
300,10.000000000000002,864,556,TRACKING,30.0,0.723401060657387
303,10.1,862,554,TRACKING,44.0,0.7411416266302412
306,10.200000000000001,860,554,TRACKING,46.0,0.7124045305189995
309,10.300000000000002,860,554,TRACKING,44.0,0.7411416266302412
312,10.4,860,552,TRACKING,28.0,0.9432711667053002
315,10.500000000000002,860,552,TRACKING,50.0,0.9193857107025736
318,10.6,860,550,TRACKING,48.0,0.8085181381420813
321,10.700000000000001,860,552,TRACKING,46.0,0.8458348538463679
324,10.800000000000002,860,552,TRACKING,52.0,0.8758946496539215
327,10.9,858,552,TRACKING,36.0,0.8323186919600187
330,11.000000000000002,856,554,TRACKING,30.0,0.7689394011682371
333,11.1,856,554,TRACKING,40.0,0.8061450759506537
336,11.200000000000001,856,556,TRACKING,26.0,0.7785730219145969
339,11.300000000000002,856,554,TRACKING,16.0,0.6449160528303446
342,11.4,856,554,TRACKING,10.0,0.5715045502581996
345,11.500000000000002,856,552,TRACKING,36.0,0.8323186919600187
348,11.6,856,552,TRACKING,36.0,0.8323186919600187
351,11.700000000000001,854,550,TRACKING,22.0,0.7798381254407766
354,11.800000000000002,852,552,TRACKING,30.0,0.7689394011682371
357,11.9,852,550,TRACKING,20.0,0.8061450660379307
360,11.999999999999998,852,552,TRACKING,44.0,0.7798381441138786
363,12.1,850,552,TRACKING,46.0,0.803114141847837
366,12.199999999999998,850,552,TRACKING,46.0,0.803114141847837
369,12.300000000000002,850,554,TRACKING,32.0,0.8573716100878629
372,12.4,850,554,TRACKING,32.0,0.8573716100878629
375,12.499999999999998,850,556,TRACKING,24.0,0.8085181428902573
378,12.6,850,554,TRACKING,28.0,0.9432711667053002
381,12.699999999999998,850,554,TRACKING,22.0,0.6587925570046589
384,12.800000000000002,848,552,TRACKING,50.0,0.8130586008171329
387,12.9,848,552,TRACKING,46.0,0.8458348538463679
390,12.999999999999998,848,552,TRACKING,46.0,0.7480139127517623
393,13.1,848,552,TRACKING,40.0,0.8061450759506537
