Frame,Time_Sec,X,Y,Mode,Area,Circularity
0,0.0,1282,554,RECOVERED,228.0,0.8827621356431081
3,0.11193333333333334,1282,552,TRACKING,202.0,0.8152833343319489
6,0.20793333333333333,1282,552,TRACKING,206.0,0.8314275587741659
9,0.30396666666666666,1282,554,TRACKING,238.0,0.8363713163860629
12,0.3999666666666667,1282,554,TRACKING,220.0,0.8043240035258271
15,0.512,1282,554,TRACKING,220.0,0.8517880327499122
18,0.6079666666666667,1282,552,TRACKING,198.0,0.7991391098897321
21,0.7040333333333334,1282,552,TRACKING,208.0,0.8053268605866951
24,0.8160333333333334,1282,554,TRACKING,202.0,0.8659453261887415
27,0.9120333333333334,1282,554,TRACKING,208.0,0.8542945754674919
30,1.0080333333333333,1282,552,TRACKING,200.0,0.8422064012495353
33,1.1040333333333334,1282,552,TRACKING,210.0,0.8475717832163826
36,1.216,1282,552,TRACKING,212.0,0.8208139155979777
39,1.312,1282,552,TRACKING,212.0,0.8927387853245076
42,1.4080000000000001,1282,552,TRACKING,208.0,0.8758946572995169
45,1.5201333333333333,1282,552,TRACKING,198.0,0.7991391098897321
48,1.6160333333333334,1282,554,TRACKING,226.0,0.8602999504211793
51,1.7124000000000001,1282,552,TRACKING,198.0,0.8487978939869842
54,1.8083666666666667,1282,554,TRACKING,220.0,0.8043240035258271
57,1.9202333333333335,1282,554,TRACKING,204.0,0.7458277123603125
60,2.0160333333333336,1282,552,TRACKING,204.0,0.8378658336315787
63,2.1120333333333337,1282,554,TRACKING,234.0,0.822314655606465
66,2.2242333333333333,1282,554,TRACKING,216.0,0.8363009706092605
69,2.320066666666667,1282,552,TRACKING,202.0,0.8152833343319489
72,2.4162333333333335,1282,552,TRACKING,206.0,0.8314275587741659
75,2.512266666666666,1282,552,TRACKING,192.0,0.8085181381420813
78,2.6241000000000003,1282,552,TRACKING,190.0,0.8145030295834698
81,2.7201,1282,554,TRACKING,212.0,0.8927387775318816
84,2.8163,1282,552,TRACKING,200.0,0.7743527505641299
87,2.9283333333333337,1282,552,TRACKING,204.0,0.7898398055754126
90,3.0242333333333336,1282,554,TRACKING,202.0,0.8152833343319489
93,3.1202333333333336,1282,552,TRACKING,198.0,0.7991391098897321
96,3.2162,1282,552,TRACKING,198.0,0.8487978939869842
99,3.3284333333333334,1282,554,TRACKING,204.0,0.8590505217759615
102,3.4244000000000003,1282,552,TRACKING,200.0,0.8957167400421453
105,3.5203,1282,552,TRACKING,184.0,0.8240594008387736
108,3.6323000000000003,1282,552,TRACKING,200.0,0.8422064012495353
111,3.7283000000000004,1282,552,TRACKING,196.0,0.8253622660200415
114,3.8242333333333334,1282,552,TRACKING,206.0,0.8314275587741659
117,3.9201000000000006,1282,552,TRACKING,194.0,0.831650461785227
120,4.032133333333333,1282,552,TRACKING,198.0,0.8487978939869842
123,4.1283666666666665,1282,552,TRACKING,198.0,0.8487978939869842
126,4.224166666666667,1282,552,TRACKING,214.0,0.8146202935146012
129,4.336033333333334,1282,552,TRACKING,180.0,0.8590443126929806
132,4.432033333333334,1282,554,TRACKING,188.0,0.8419737356396164
135,4.528366666666667,1282,554,TRACKING,202.0,0.8152833343319489
138,4.6241666666666665,1282,552,TRACKING,204.0,0.859050529274526
141,4.7362,1282,554,TRACKING,222.0,0.8450733956126867
144,4.8321000000000005,1282,552,TRACKING,208.0,0.8758946572995169
147,4.9283,1282,552,TRACKING,214.0,0.8637160076585993
150,5.040266666666667,1282,552,TRACKING,202.0,0.8659453261887415
153,5.1361,1282,552,TRACKING,184.0,0.8781341863083802
156,5.232066666666667,1282,552,TRACKING,210.0,0.8475717832163826
159,5.328,1282,554,TRACKING,224.0,0.8672750806318256
162,5.440266666666667,1282,552,TRACKING,198.0,0.7991391098897321
165,5.5361,1282,552,TRACKING,196.0,0.8778024052413023
168,5.6322,1282,552,TRACKING,180.0,0.8590443126929806
171,5.743966666666667,1282,552,TRACKING,208.0,0.8053268605866951
174,5.840133333333333,1282,552,TRACKING,202.0,0.8659453261887415
177,5.936266666666667,1282,552,TRACKING,192.0,0.8598880704404595
180,6.032100000000001,1282,554,TRACKING,192.0,0.8598880704404595
183,6.1443666666666665,1282,552,TRACKING,198.0,0.7991391098897321
186,6.240066666666667,1282,552,TRACKING,204.0,0.8378658336315787
189,6.336233333333333,1282,552,TRACKING,208.0,0.8053268605866951
192,6.4482,1282,552,TRACKING,200.0,0.8957167400421453
195,6.544300000000001,1282,552,TRACKING,192.0,0.8598880704404595
198,6.640433333333334,1282,552,TRACKING,202.0,0.8659453261887415
201,6.736000000000001,1282,554,TRACKING,220.0,0.8043240035258271
204,6.848000000000001,1282,552,TRACKING,200.0,0.8422063938980013
207,6.9440333333333335,1282,552,TRACKING,214.0,0.8637160076585993
210,7.040033333333334,1282,554,TRACKING,228.0,0.8335721491085845
213,7.152166666666667,1282,552,TRACKING,206.0,0.8314275587741659
216,7.248166666666667,1282,554,TRACKING,202.0,0.8659453261887415
219,7.344466666666667,1282,552,TRACKING,182.0,0.8302448585070189
222,7.4404,1282,552,TRACKING,192.0,0.8598880704404595
225,7.552166666666667,1282,552,TRACKING,210.0,0.8475717832163826
228,7.6481666666666674,1282,554,TRACKING,204.0,0.8590505217759615
231,7.744400000000001,1282,552,TRACKING,190.0,0.8898583771654449
234,7.8563,1282,552,TRACKING,196.0,0.8778024052413023
237,7.952166666666667,1282,552,TRACKING,196.0,0.8778024052413023
240,8.0482,1282,552,TRACKING,202.0,0.8152833343319489
243,8.144433333333334,1282,552,TRACKING,198.0,0.8487978939869842
246,8.256233333333334,1282,552,TRACKING,206.0,0.8314275587741659
249,8.352400000000001,1282,552,TRACKING,210.0,0.8475717832163826
252,8.4482,1282,552,TRACKING,206.0,0.8314275587741659
255,8.5604,1282,552,TRACKING,192.0,0.8598880704404595
258,8.656333333333334,1282,552,TRACKING,186.0,0.8711245085743778
261,8.7524,1282,552,TRACKING,206.0,0.8830927583904986
264,8.848166666666668,1282,552,TRACKING,200.0,0.8422063938980013
267,8.960333333333335,1282,552,TRACKING,210.0,0.8475717832163826
270,9.0564,1282,554,TRACKING,228.0,0.7883819770707718
273,9.152433333333335,1282,552,TRACKING,204.0,0.859050529274526
276,9.264100000000001,1282,552,TRACKING,182.0,0.8302448585070189
279,9.360366666666668,1282,552,TRACKING,192.0,0.8598880704404595
282,9.456233333333333,1282,552,TRACKING,196.0,0.8778024131432159
285,9.552433333333333,1282,552,TRACKING,194.0,0.831650461785227
288,9.664166666666667,1282,552,TRACKING,212.0,0.8208139155979777
291,9.7604,1282,552,TRACKING,204.0,0.859050529274526
294,9.856433333333332,1282,552,TRACKING,214.0,0.8637160076585993
297,9.968200000000001,1282,552,TRACKING,214.0,0.8637160076585993
300,10.064033333333334,1282,552,TRACKING,200.0,0.7743527505641299
303,10.160266666666667,1282,552,TRACKING,196.0,0.8050083499597519
306,10.256433333333334,1282,552,TRACKING,178.0,0.8119977187596118
309,10.368133333333335,1282,552,TRACKING,200.0,0.8214370917956653
312,10.464,1282,552,TRACKING,186.0,0.7973555973817125
315,10.560400000000001,1282,552,TRACKING,186.0,0.8484919982544259
318,10.672166666666667,1282,554,TRACKING,208.0,0.8758946496539215
321,10.7682,1282,552,TRACKING,216.0,0.7896999307344486
324,10.8642,1282,552,TRACKING,200.0,0.8214370917956653
327,10.960433333333334,1282,554,TRACKING,214.0,0.8637160150395913
330,11.0723,1282,552,TRACKING,192.0,0.8598880781811093
333,11.168433333333335,1282,554,TRACKING,216.0,0.8363009706092605
336,11.264233333333333,1282,552,TRACKING,204.0,0.7898398055754126
339,11.360466666666667,1282,552,TRACKING,194.0,0.7829948854475154
342,11.4724,1282,552,TRACKING,190.0,0.8145030295834698
345,11.568433333333333,1282,552,TRACKING,218.0,0.8798602321008162
348,11.664066666666667,1282,552,TRACKING,198.0,0.8487978939869842
351,11.776366666666668,1282,552,TRACKING,202.0,0.8152833343319489
354,11.8724,1282,554,TRACKING,232.0,0.8481962218999631
357,11.968433333333333,1282,552,TRACKING,208.0,0.8758946572995169
