Frame,Time_Sec,X,Y,Mode,Area,Circularity
381,18.733333333333334,850,554,TRACKING,22.0,0.6587925570046589
384,18.833333333333336,848,552,TRACKING,50.0,0.8130586008171329
387,18.933333333333334,848,552,TRACKING,46.0,0.8458348538463679
390,19.033333333333335,848,552,TRACKING,46.0,0.7480139127517623
393,19.133333333333333,848,552,TRACKING,40.0,0.8061450759506537
396,19.233333333333334,846,552,TRACKING,72.0,0.9227272726407235
399,19.333333333333336,846,552,TRACKING,60.0,0.7689393938672696
402,19.433333333333334,846,552,TRACKING,62.0,0.7382922197978818
405,19.533333333333335,844,554,TRACKING,48.0,0.8085181381420813
408,19.633333333333333,844,554,TRACKING,44.0,0.8399544390775812
411,19.733333333333334,844,554,TRACKING,42.0,0.7332781295132424
414,19.833333333333336,842,554,TRACKING,50.0,0.5953969514499048
417,19.933333333333334,842,554,TRACKING,54.0,0.8363009706092605
420,20.033333333333335,842,554,TRACKING,48.0,0.6858054603098395
423,20.133333333333333,842,552,TRACKING,48.0,0.5548791285324387
426,20.233333333333334,842,554,TRACKING,46.0,0.6362380867588685
429,20.333333333333336,840,550,TRACKING,60.0,0.7689393938672696
432,20.433333333333334,840,552,TRACKING,42.0,0.7722839969901619
435,20.533333333333335,840,550,TRACKING,50.0,0.6611151885230976
438,20.633333333333333,840,552,TRACKING,20.0,0.4623992733111215
441,20.733333333333334,838,552,TRACKING,22.0,0.6587925570046589
444,20.833333333333336,838,554,TRACKING,48.0,0.8085181381420813
447,20.933333333333334,838,554,TRACKING,36.0,0.8323186919600187
450,21.033333333333335,836,554,TRACKING,36.0,0.8323186919600187
453,21.133333333333333,836,554,TRACKING,22.0,0.7798381254407766
456,21.233333333333334,836,554,TRACKING,42.0,0.8803370121606843
459,21.333333333333336,836,554,TRACKING,42.0,0.8803370121606843
462,21.433333333333334,836,554,TRACKING,42.0,0.8803370121606843
465,21.533333333333335,834,552,TRACKING,24.0,0.8085181428902573
468,21.633333333333333,834,550,TRACKING,36.0,0.8323186919600187
471,21.733333333333334,834,552,TRACKING,48.0,0.8085181381420813
474,21.833333333333336,834,552,TRACKING,48.0,0.8085181381420813
477,21.933333333333334,834,550,TRACKING,50.0,0.7743527505641299
480,22.033333333333335,832,552,TRACKING,50.0,0.7743527505641299
483,22.133333333333333,832,554,TRACKING,38.0,0.7964953919549048
486,22.233333333333334,832,554,TRACKING,38.0,0.7964953919549048
489,22.333333333333336,832,554,TRACKING,46.0,0.803114141847837
492,22.433333333333334,830,554,TRACKING,32.0,0.8573716100878629
495,22.533333333333335,830,556,TRACKING,24.0,0.7539822368615503
498,22.633333333333333,830,554,TRACKING,20.0,0.8061450660379307
