time_sec,position_cm
0.0,48.36923076923077
0.1000000000000005,48.36923076923077
0.2000000000000001,48.246153846153845
0.3000000000000007,48.246153846153845
0.4000000000000003,48.246153846153845
0.5,48.12307692307692
0.6000000000000005,48.12307692307692
0.7000000000000002,48.12307692307692
0.8000000000000007,48.12307692307692
0.9000000000000004,48.0
1.0000000000000009,48.0
1.1000000000000003,48.0
1.2000000000000002,48.0
1.3000000000000007,47.87692307692308
1.4000000000000004,47.753846153846155
1.5000000000000009,47.753846153846155
1.6000000000000003,47.753846153846155
1.7000000000000002,47.63076923076923
1.8000000000000007,47.63076923076923
1.9000000000000004,47.50769230769231
2.0,47.50769230769231
2.1,47.50769230769231
2.200000000000001,47.50769230769231
2.3000000000000007,47.38461538461539
2.4000000000000004,47.38461538461539
2.5,47.38461538461539
2.6,47.26153846153846
2.700000000000001,47.26153846153846
2.8000000000000007,47.26153846153846
2.9000000000000004,47.13846153846154
2.9999999999999982,47.13846153846154
3.100000000000003,47.13846153846154
3.200000000000001,47.13846153846154
3.3000000000000007,47.13846153846154
3.4000000000000004,47.13846153846154
3.4999999999999982,47.01538461538461
3.600000000000003,47.01538461538461
3.700000000000001,46.892307692307696
3.8000000000000007,46.892307692307696
3.9,46.892307692307696
3.9999999999999982,46.76923076923077
4.100000000000003,46.76923076923077
4.200000000000001,46.76923076923077
4.300000000000001,46.76923076923077
4.4,46.76923076923077
4.499999999999998,46.64615384615385
4.600000000000003,46.64615384615385
4.700000000000001,46.64615384615385
4.800000000000001,46.64615384615385
4.9,46.52307692307692
4.999999999999998,46.52307692307692
5.100000000000003,46.400000000000006
5.200000000000001,46.52307692307692
5.300000000000001,46.400000000000006
5.4,46.400000000000006
5.499999999999998,46.276923076923076
5.600000000000003,46.276923076923076
5.700000000000001,46.276923076923076
5.800000000000001,46.15384615384615
5.9,46.15384615384615
5.999999999999998,46.03076923076923
6.100000000000003,46.03076923076923
6.200000000000001,46.03076923076923
6.300000000000001,46.03076923076923
6.4,46.03076923076923
6.499999999999998,46.03076923076923
6.600000000000003,46.03076923076923
6.700000000000001,46.03076923076923
6.800000000000001,45.784615384615385
6.9,45.784615384615385
6.999999999999998,45.784615384615385
7.100000000000003,45.784615384615385
7.200000000000001,45.661538461538456
7.300000000000001,45.53846153846154
7.4,45.53846153846154
7.499999999999998,45.53846153846154
7.600000000000003,45.53846153846154
7.700000000000001,45.53846153846154
7.800000000000001,45.53846153846154
7.9,45.53846153846154
7.999999999999998,45.41538461538461
8.100000000000003,45.41538461538461
8.200000000000001,45.41538461538461
8.3,45.292307692307695
8.4,45.292307692307695
8.499999999999998,45.292307692307695
8.600000000000003,45.292307692307695
8.700000000000001,45.169230769230765
8.8,45.169230769230765
8.9,45.169230769230765
8.999999999999998,45.04615384615385
9.100000000000003,45.04615384615385
9.2,45.04615384615385
9.3,45.04615384615385
9.4,45.04615384615385
9.499999999999998,44.92307692307692
9.600000000000003,44.92307692307692
9.7,44.92307692307692
9.8,44.800000000000004
9.9,44.92307692307692
10.000000000000002,44.800000000000004
10.1,44.676923076923075
10.2,44.55384615384615
10.300000000000002,44.55384615384615
10.4,44.55384615384615
10.500000000000002,44.55384615384615
10.6,44.55384615384615
10.7,44.55384615384615
10.800000000000002,44.55384615384615
10.9,44.43076923076923
11.000000000000002,44.30769230769231
11.1,44.30769230769231
11.2,44.30769230769231
11.300000000000002,44.30769230769231
11.4,44.30769230769231
11.500000000000002,44.30769230769231
11.6,44.30769230769231
11.7,44.184615384615384
11.800000000000002,44.06153846153846
11.9,44.06153846153846
11.999999999999998,44.06153846153846
12.1,43.93846153846154
12.199999999999998,43.93846153846154
12.300000000000002,43.93846153846154
12.4,43.93846153846154
12.499999999999998,43.93846153846154
12.6,43.93846153846154
12.699999999999998,43.93846153846154
12.800000000000002,43.815384615384616
12.9,43.815384615384616
12.999999999999998,43.815384615384616
13.1,43.815384615384616
13.199999999999998,43.69230769230769
13.300000000000002,43.69230769230769
13.4,43.69230769230769
13.499999999999998,43.56923076923077
13.6,43.56923076923077
13.699999999999998,43.56923076923077
13.800000000000002,43.44615384615385
13.9,43.44615384615385
13.999999999999998,43.44615384615385
14.1,43.44615384615385
14.199999999999998,43.44615384615385
14.300000000000002,43.323076923076925
14.4,43.323076923076925
14.499999999999998,43.323076923076925
14.6,43.323076923076925
14.699999999999998,43.2
14.800000000000002,43.2
14.9,43.2
14.999999999999998,43.07692307692308
15.1,43.07692307692308
15.199999999999998,43.07692307692308
15.300000000000002,43.07692307692308
15.4,43.07692307692308
15.499999999999998,42.95384615384615
15.6,42.95384615384615
15.699999999999998,42.95384615384615
15.800000000000002,42.95384615384615
15.9,42.95384615384615
15.999999999999998,42.830769230769235
16.1,42.830769230769235
16.199999999999996,42.830769230769235
16.300000000000004,42.830769230769235
16.4,42.707692307692305
16.5,42.707692307692305
16.6,42.707692307692305
16.699999999999996,42.58461538461538
16.800000000000004,42.58461538461538
16.9,42.58461538461538
17.0,42.58461538461538
17.1,42.58461538461538
17.199999999999996,42.46153846153846
17.300000000000004,42.46153846153846
17.4,42.46153846153846
17.5,42.33846153846154
17.6,42.33846153846154
17.699999999999996,42.33846153846154
17.800000000000004,42.33846153846154
17.9,42.215384615384615
18.0,42.215384615384615
18.1,42.215384615384615
18.2,42.215384615384615
18.300000000000004,42.09230769230769
18.4,42.09230769230769
18.5,42.09230769230769
18.6,42.09230769230769
18.7,41.96923076923077
18.800000000000004,41.96923076923077
18.9,41.96923076923077
19.0,41.96923076923077
19.1,41.96923076923077
19.2,41.96923076923077
19.300000000000004,41.84615384615385
19.4,41.84615384615385
19.5,41.84615384615385
19.6,41.84615384615385
19.7,41.84615384615385
19.800000000000004,41.84615384615385
19.9,41.723076923076924
20.0,41.6
20.1,41.6
20.2,41.6
20.300000000000004,41.6
20.4,41.47692307692308
20.5,41.6
20.6,41.47692307692308
20.7,41.47692307692308
20.800000000000004,41.47692307692308
20.9,41.47692307692308
21.0,41.35384615384615
21.1,41.35384615384615
21.2,41.35384615384615
21.300000000000004,41.35384615384615
21.4,41.23076923076923
21.5,41.23076923076923
21.6,41.23076923076923
21.7,41.23076923076923
21.800000000000004,41.107692307692304
21.9,41.107692307692304
22.0,41.107692307692304
22.1,41.107692307692304
22.2,41.107692307692304
