Frame,Time_Sec,X,Y,Mode,Area,Circularity
264,8.847866666666667,1148,552,TRACKING,166.0,0.829683210541695
267,8.943900000000001,1148,554,TRACKING,194.0,0.908592237737349
270,9.056133333333333,1148,554,TRACKING,184.0,0.8458348538463679
273,9.152033333333334,1148,554,TRACKING,154.0,0.8470190018631328
276,9.2479,1148,554,TRACKING,188.0,0.8642225838239915
279,9.360233333333333,1148,554,TRACKING,176.0,0.8090594327969582
282,9.455933333333334,1148,554,TRACKING,182.0,0.9350740959870124
285,9.552,1148,554,TRACKING,190.0,0.7860680114669655
288,9.648066666666667,1148,554,TRACKING,192.0,0.8826102903239544
291,9.760266666666666,1148,554,TRACKING,198.0,0.8707323452559141
294,9.855866666666667,1148,554,TRACKING,172.0,0.8432702460073699
297,9.952200000000001,1148,554,TRACKING,176.0,0.8628811819610296
300,10.064133333333334,1148,554,TRACKING,176.0,0.8628811819610296
303,10.160066666666667,1148,552,TRACKING,188.0,0.8642225838239915
306,10.256266666666667,1148,554,TRACKING,174.0,0.8149229273760308
309,10.352233333333334,1148,554,TRACKING,190.0,0.8355512403970893
312,10.464,1148,554,TRACKING,156.0,0.9016785829566868
315,10.5603,1148,554,TRACKING,170.0,0.8177135236038587
318,10.656166666666667,1148,554,TRACKING,164.0,0.8593766071092394
321,10.767766666666667,1148,554,TRACKING,162.0,0.8323187008236045
324,10.864066666666668,1148,554,TRACKING,182.0,0.8523906481749289
327,10.960266666666667,1148,554,TRACKING,172.0,0.7906717184152091
330,11.0563,1148,554,TRACKING,188.0,0.8642225759422053
333,11.168133333333333,1148,554,TRACKING,184.0,0.8458348538463679
336,11.264166666666668,1148,554,TRACKING,194.0,0.9085922293732759
339,11.360266666666668,1148,554,TRACKING,196.0,0.9009980047057035
342,11.456266666666668,1148,554,TRACKING,188.0,0.8642225680604193
345,11.568233333333334,1148,554,TRACKING,170.0,0.8734208588889675
348,11.664066666666667,1150,554,TRACKING,176.0,0.8090594254182649
351,11.7603,1150,554,TRACKING,184.0,0.9021030538683492
354,11.872066666666667,1148,552,TRACKING,198.0,0.8707323530230263
357,11.968133333333334,1150,554,TRACKING,176.0,0.8628811819610296
360,12.064066666666667,1148,552,TRACKING,186.0,0.817960687967677
363,12.160066666666667,1150,554,TRACKING,174.0,0.8149229273760308
366,12.2722,1150,554,TRACKING,196.0,0.9009980047057035
369,12.368166666666667,1148,554,TRACKING,186.0,0.817960687967677
372,12.464033333333333,1150,554,TRACKING,176.0,0.8628811819610296
375,12.576233333333333,1150,554,TRACKING,182.0,0.8754344782111898
378,12.6721,1150,554,TRACKING,168.0,0.8803370121606843
381,12.768,1150,554,TRACKING,176.0,0.8628811819610296
384,12.864,1150,554,TRACKING,192.0,0.8826102903239544
387,12.9761,1150,552,TRACKING,164.0,0.8040483741000505
390,13.0721,1150,554,TRACKING,180.0,0.8824921179146895
393,13.168133333333333,1150,554,TRACKING,184.0,0.8458348538463679
396,13.280100000000001,1150,554,TRACKING,164.0,0.8839798536863812
399,13.376000000000001,1150,554,TRACKING,182.0,0.8523906481749289
402,13.471966666666667,1150,554,TRACKING,174.0,0.8939719293022625
405,13.5678,1150,554,TRACKING,174.0,0.8939719293022625
408,13.680000000000001,1150,554,TRACKING,176.0,0.8628811900881246
411,13.775866666666667,1150,554,TRACKING,180.0,0.8824921179146895
414,13.872100000000001,1150,554,TRACKING,174.0,0.8939719379216492
417,13.984066666666667,1150,554,TRACKING,176.0,0.9222578222635739
420,14.079933333333335,1150,554,TRACKING,182.0,0.8003701355382644
423,14.175833333333333,1150,554,TRACKING,184.0,0.9021030538683492
426,14.272300000000001,1150,554,TRACKING,188.0,0.8642225680604193
429,14.384166666666667,1150,554,TRACKING,182.0,0.8754344782111898
432,14.480066666666668,1150,554,TRACKING,184.0,0.8458348538463679
435,14.575833333333334,1150,554,TRACKING,160.0,0.924798546622243
438,14.6882,1150,554,TRACKING,180.0,0.8824921179146895
441,14.784066666666668,1150,554,TRACKING,164.0,0.8839798449565314
444,14.879966666666668,1150,554,TRACKING,188.0,0.9217139898220089
447,14.975766666666667,1150,554,TRACKING,172.0,0.8432702460073699
450,15.087866666666667,1150,554,TRACKING,188.0,0.7916740102641213
453,15.183900000000001,1150,554,TRACKING,176.0,0.8628811819610296
456,15.279900000000001,1150,552,TRACKING,168.0,0.8236593100537102
459,15.391766666666667,1150,554,TRACKING,180.0,0.8274471471787073
462,15.488033333333334,1150,554,TRACKING,186.0,0.817960687967677
465,15.584000000000001,1150,554,TRACKING,172.0,0.7906717112042135
468,15.680066666666667,1150,554,TRACKING,182.0,0.8003701355382644
471,15.791866666666667,1150,554,TRACKING,194.0,0.8531417928265016
474,15.888066666666667,1150,554,TRACKING,182.0,0.8003701355382644
477,15.984133333333334,1150,554,TRACKING,206.0,0.9059134501147388
480,16.095866666666666,1150,554,TRACKING,186.0,0.8711245085743778
483,16.1921,1152,554,TRACKING,190.0,0.8355512403970893
486,16.28806666666667,1152,554,TRACKING,180.0,0.882492126226491
489,16.384033333333335,1150,554,TRACKING,184.0,0.8458348615604563
492,16.496000000000002,1152,554,TRACKING,180.0,0.8824921179146895
495,16.592233333333333,1152,554,TRACKING,180.0,0.8824921179146895
498,16.688266666666667,1152,554,TRACKING,164.0,0.8040483741000505
501,16.799933333333335,1152,552,TRACKING,178.0,0.8561941679962954
504,16.895866666666667,1152,554,TRACKING,184.0,0.8458348692745449
507,16.9919,1152,554,TRACKING,188.0,0.8642225759422053
510,17.087866666666663,1152,554,TRACKING,160.0,0.8384162020577945
513,17.19976666666667,1152,554,TRACKING,178.0,0.9145230081367972
516,17.295833333333334,1152,554,TRACKING,190.0,0.8355512403970893
519,17.391833333333334,1152,554,TRACKING,180.0,0.8274471396323164
522,17.503766666666667,1152,554,TRACKING,160.0,0.8384162020577945
525,17.599833333333333,1152,554,TRACKING,158.0,0.8690194954180195
528,17.695800000000002,1152,554,TRACKING,152.0,0.853256245497504
531,17.791866666666667,1152,554,TRACKING,162.0,0.891019988972906
534,17.9042,1152,554,TRACKING,174.0,0.8149229273760308
537,17.999866666666666,1152,554,TRACKING,164.0,0.9479185102877989
540,18.096,1152,552,TRACKING,164.0,0.7538962827761105
543,18.2082,1152,554,TRACKING,164.0,0.8593766071092394
546,18.303933333333333,1152,552,TRACKING,186.0,0.817960695264055
549,18.399933333333333,1152,554,TRACKING,166.0,0.9130204825277927
552,18.495900000000002,1152,554,TRACKING,170.0,0.8177135236038587
555,18.607833333333335,1154,554,TRACKING,168.0,0.8236593100537102
