run,deltaS_cm,beta,T_sec,u_T_sec,G0_SI,uG0_stat_SI,rel_uG0_stat_pct
youtube_100min,5.907692307692301,0.058772337831158816,292.3000000000002,12.750359999999864,1.532825255829637e-10,1.5260266183143658e-11,9.955646362888304
video_alt_full,10.618058747408256,0.058772337831158816,292.3000000000002,12.750359999999864,2.754989218838965e-10,2.6020811858357477e-11,9.444977744531222
video_main_100min,13.427063839809193,0.058772337831158816,292.3000000000002,12.750359999999864,3.483821007146529e-10,3.259625278850423e-11,9.356465995709302
